NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
4,1,4,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,39,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
1,0,6,94,9,1,0,0,0,0,0,0,0,10,1,1,0,0,1,0,16,71,0,0,0,0,0.3098591549,0.5714285714,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,1,-1,-1,0,0,1,0
1,0,5,98,6,0,0,0,0,0,0,0,0,11,1,1,0,0,1,0,14,77,0,0,0,0,0.1050583658,0.5416666667,0,1,0,1,0,0.0389105058,0,0,0,0,1,1,0,0,1,-1,0,0,0,1,0
2,0,2,78,6,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,22,49,0,0,0,0,0.0701754386,0.2025316456,0,1,1,0,0,0.0,0,0,0,0,0,1,0,1,1,-1,0,1,0,1,0
16,14,8,159,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,115,37,0,0,2,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,1
4,0,2,137,0,0,0,0,3,0,6,5,0,6,1,1,0,0,0,0,15,16,98,0,0,0,0.0238095238,0.0526315789,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0
2,0,5,179,0,0,0,0,2,0,2,0,0,71,1,1,0,0,0,0,15,57,99,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
3,1,2,52,0,0,0,0,0,0,1,0,0,10,1,1,0,0,0,0,14,17,13,0,0,0,0.7435897436,1.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,1,1,1,-1,1,-1,-1,1
2,1,5,51,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,19,25,0,0,0,0,1.0,0.1428571429,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,1
4,1,4,140,0,0,0,0,1,0,1,0,0,27,1,1,0,0,0,0,19,32,81,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
3,1,3,80,2,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,19,39,14,0,0,0,0.0111111111,0.2571428571,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,0,1,0
5,1,5,73,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,24,42,0,0,0,1,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
4,0,5,59,0,0,0,1,0,0,0,0,0,10,1,1,1,0,0,0,13,39,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
2,0,4,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,36,0,0,0,0,0.023255814,0.9,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0
2,1,3,52,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,33,12,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,0,3,87,5,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,12,68,0,0,0,0,0.049382716,0.7941176471,0,1,0,0,0,0.0185185185,0,0,0,0,1,1,0,0,1,-1,-1,1,0,1,0
2,1,6,95,1,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,35,53,0,0,0,0,0.0,0.0714285714,0,1,0,0,0,1.0,0,0,0,0,0,1,0,0,1,-1,1,1,1,-1,1
3,1,1,49,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,27,15,0,0,0,0,0.421875,0.578125,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1,0,6,74,4,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,25,42,0,0,0,0,0.1123595506,0.3148148148,1,1,0,0,0,0.0224719101,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
2,1,7,87,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,19,61,0,0,0,0,0.0444444444,0.7865168539,0,1,1,0,0,0.0177777778,0,0,0,0,1,1,0,0,1,-1,0,1,0,1,0
