id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
6502,2,0,6,162,16,0,0,0,0,0,1,0,0,17,1,1,0,0,1,0,11,127,16,0,0,0,0.0,0.5,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,-1,-1,1,1,1,0
7587,1,0,3,78,1,0,0,0,5,0,0,0,0,8,1,1,0,0,1,0,7,64,0,0,0,0,0.0458015267,0.9882352941,1,1,1,0,1,0.0458015267,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1,0
7654,1,0,3,71,7,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,20,44,0,0,0,0,0.2592592593,0.1153846154,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
6056,2,0,2,95,0,0,0,0,0,1,4,3,0,14,1,0,0,0,0,0,8,32,47,0,0,0,0.075,0.0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,0,1,1,0
5706,2,0,1,63,0,0,0,0,0,0,2,1,0,5,1,1,0,0,0,0,21,14,20,0,0,0,0.5,0.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
5107,2,0,2,61,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,15,39,0,0,0,0,0.0,0.3333333333,0,1,1,0,1,0.0392156863,0,0,0,0,0,1,0,0,1,0,1,-1,0,1,0
5590,3,2,8,97,2,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,28,62,0,0,0,0,0.0625,0.0303030303,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,-1,1,1,1,1,0
7469,1,0,4,73,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,47,0,0,0,0,0.0389048991,0.0085959885,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
7414,2,0,3,61,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,18,36,0,0,0,0,0.0434782609,0.2222222222,0,1,1,0,1,0.049689441,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,0
6601,1,0,3,178,23,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,10,161,0,0,0,0,0.2446043165,0.9662162162,0,1,1,0,1,0.0071942446,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1,0
